,name,id,artist,genre,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
110,Nuketown (feat. Juice WRLD),74lnM5V6ecvoTPV0fvptx9,Ski Mask The Slump God,miami hip hop,0.113,0.808,0.617,0.0,0.734,-9.32,0.442,149.962,0.632
111,Seeing Green (with Drake & Lil Wayne),1TZv3bujNaYz646eezRE91,Nicki Minaj,dance pop,0.0853,0.573,0.867,0.0,0.38,-2.876,0.168,74.861,0.231
112,@ my worst,0mHGftgYtmpH4y17T3VZ2E,blackbear,pop,0.0173,0.615,0.774,0.0,0.15,-5.152,0.0551,136.887,0.336
113,Wildest Dreams,59HjlYCeBsxdI0fcm3zglw,Taylor Swift,pop,0.0709,0.553,0.664,0.0056,0.106,-7.417,0.0741,140.06,0.467
114,Feeling Whitney,35r28RDot7nPE7y9K9H7l0,Post Malone,dfw rap,0.787,0.412,0.227,4.69e-06,0.282,-12.696,0.0359,80.111,0.226
115,We're Good,1diS6nkxMQc3wwC4G1j0bh,Dua Lipa,dance pop,0.0319,0.722,0.588,0.0,0.183,-5.932,0.0544,134.01,0.59
116,I WANNA SEE SOME ASS (feat. jetsonmade),2aWVaW1p2kUc5yuKwBmRJi,jetsonmade,dream smp,0.18,0.899,0.691,0.000451,0.135,-7.554,0.0497,107.951,0.865
117,505,58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,garage rock,0.00237,0.52,0.852,5.79e-05,0.0733,-5.866,0.0543,140.267,0.234
118,Hate The Other Side (with Marshmello & The Kid Laroi),0ada5XsQGLPUVbmTCkAP49,Juice WRLD,chicago rap,0.291,0.701,0.65,0.0,0.112,-6.313,0.104,90.003,0.647
119,Talking to the Moon,161DnLWsx1i3u1JT05lzqU,Bruno Mars,dance pop,0.512,0.523,0.606,0.0,0.106,-4.754,0.0301,145.837,0.065
120,Walking On A Dream,5r5cp9IpziiIsR6b93vcnQ,Empire of the Sun,alternative dance,0.257,0.871,0.701,7.52e-06,0.0589,-5.594,0.0458,126.975,0.716
121,We Didn't Have Much,0Iuw6WPws324i7G7sCejTX,Justin Moore,arkansas country,0.418,0.469,0.673,1.41e-05,0.119,-8.015,0.0337,175.954,0.578
122,wokeuplikethis*,59J5nzL1KniFHnU120dQzt,Playboi Carti,atl hip hop,0.0138,0.785,0.62,0.0,0.15,-6.667,0.254,78.477,0.478
123,Blood // Water,7clyJIrLkEbXUDwj1tC9zz,grandson,modern alternative rock,0.00163,0.504,0.891,0.00199,0.148,-5.632,0.137,153.988,0.628
124,Waves,3nAq2hCr1oWsIU54tS98pL,Kanye West,chicago rap,0.0528,0.557,0.586,7.33e-06,0.339,-4.57,0.0382,96.091,0.0681
125,Welcome To The Jungle,0G21yYKMZoHa30cYVi1iA8,Guns N' Roses,glam metal,0.0195,0.453,0.987,0.283,0.268,-4.485,0.0889,123.544,0.316
126,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),3EG9FJ0ToLfgnc1IG2Z1wz,"Tyler, The Creator",hip hop,0.333,0.468,0.652,0.000318,0.55,-4.912,0.0722,140.223,0.39
127,Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,Sam Smith,dance pop,0.588,0.418,0.42,6.39e-05,0.11,-6.444,0.0414,84.094,0.184
128,Ain't No Rest for the Wicked,3Pzh926pXggbMe2ZpXyMV7,Cage The Elephant,modern rock,0.0438,0.636,0.849,0.0,0.372,-7.075,0.106,156.036,0.917
129,Bad Boy (with Young Thug),43CIWpJaJHRcI4mUSjqgc2,Juice WRLD,chicago rap,0.00215,0.697,0.674,0.0,0.138,-6.326,0.0533,81.535,0.198
130,Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,Eminem,detroit hip hop,0.241,0.749,0.925,0.0,0.52,-5.034,0.227,86.989,0.641
131,WHOLE LOTTA MONEY,5yorXJWdBan1Vlh116ZtQ7,BIA,escape room,0.0904,0.897,0.371,0.0,0.325,-5.019,0.368,81.008,0.441
132,you were good to me,4CxFN5zON70B3VOPBYbd6P,Jeremy Zucker,electropop,0.913,0.561,0.0848,2.62e-05,0.112,-15.099,0.0404,102.128,0.206
133,Stronger,4fzsfWzRhPawzqhX8Qt9F3,Kanye West,chicago rap,0.00564,0.617,0.717,0.0,0.408,-7.858,0.153,103.992,0.49
134,Stay With Me,2WYs5LxOZfEyURXu7V0O1a,1nonly,aesthetic rap,0.302,0.684,0.844,0.0,0.374,-7.649,0.335,126.677,0.335
135,Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,Marshmello,brostep,0.00776,0.63,0.633,0.0,0.0541,-7.088,0.0457,93.995,0.452
136,Headshot (feat. Polo G & Fivio Foreign),4eNOLmx8r2IJAVKvBBL1jv,Lil Tjay,brooklyn drill,0.0802,0.808,0.639,0.0,0.15,-7.266,0.279,118.0,0.395
137,You Belong With Me (Taylor’s Version),4KnJopUr6cLGpPptbQUA3S,Taylor Swift,pop,0.0623,0.632,0.773,0.0,0.0885,-4.856,0.0346,130.033,0.474
138,Blue World,2hwOoMtWPtTSSn6WHV7Vp5,Mac Miller,hip hop,0.389,0.742,0.553,0.0,0.0694,-8.98,0.419,84.931,0.508
139,Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8,Kanye West,chicago rap,0.118,0.724,0.573,0.0,0.538,-4.113,0.0549,113.088,0.438
140,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,Juice WRLD,chicago rap,0.186,0.736,0.67,0.0,0.114,-6.702,0.311,130.032,0.845
141,bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,electropop,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,0.562
142,Got What I Got,4TCc369aRPRubv1m8R1TBG,Jason Aldean,contemporary country,0.621,0.512,0.58,1.72e-05,0.513,-6.658,0.029,159.847,0.303
143,Beer Never Broke My Heart,7aEtlGHoiPAfRB084NiDmx,Luke Combs,contemporary country,0.0139,0.538,0.863,0.0,0.0874,-4.483,0.0481,77.001,0.637
144,More Than My Hometown,5OELUCYgOHKFAvCERnAvfS,Morgan Wallen,contemporary country,0.615,0.62,0.869,0.0,0.131,-5.479,0.0462,126.019,0.597
145,White Iverson,6eT7xZZlB2mwyzJ2sUKG6w,Post Malone,dfw rap,0.233,0.675,0.562,0.0,0.0816,-7.678,0.0352,130.098,0.309
146,Black & White,1fCeXjoRExPP2qwSBh2aST,Juice WRLD,chicago rap,0.0802,0.776,0.736,0.0,0.159,-4.612,0.247,147.946,0.233
147,Carry on Wayward Son,4DMKwE2E2iYDKY01C335Uw,Kansas,album rock,0.00321,0.482,0.786,8.88e-05,0.446,-5.735,0.032,126.755,0.793
148,Water Fountain,4IhKLu7Vk3j2TLmnFPl6To,Alec Benjamin,alt z,0.388,0.723,0.504,7.4e-05,0.087,-5.572,0.0392,133.975,0.551
149,Look Back at It,3Ol2xnObFdKV9pmRD2t9x8,A Boogie Wit da Hoodie,melodic rap,0.407,0.791,0.587,0.0,0.148,-5.075,0.0413,96.057,0.536
150,I Won't Back Down,7gSQv1OHpkIoAdUiRLdmI6,Tom Petty,album rock,0.0504,0.765,0.476,2.76e-06,0.165,-13.487,0.0329,114.02,0.965
151,I Wish Grandpas Never Died,7Dxes6VnfbZYV0S2QTnVuT,Riley Green,contemporary country,0.036,0.445,0.492,0.0,0.122,-5.717,0.0294,148.013,0.24
152,I Took A Pill In Ibiza - Seeb Remix,1MtUq6Wp1eQ8PC6BbPCj8P,Mike Posner,dance pop,0.0353,0.664,0.714,8.42e-06,0.0843,-6.645,0.111,101.969,0.71
153,If I Die Young,4u26EevCNXMhlvE1xFBJwX,The Band Perry,contemporary country,0.348,0.606,0.497,0.0,0.275,-6.611,0.0277,130.739,0.362
154,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",7t2bFihaDvhIrd2gn2CWJO,Ty Dolla $ign,hip hop,0.22,0.805,0.33,0.0,0.105,-8.712,0.1,121.97,0.211
155,All of Me,3U4isOIWM3VvDubwSI3y7a,John Legend,neo soul,0.922,0.422,0.264,0.0,0.132,-7.064,0.0322,119.93,0.331
